[22Mar2025 15:44:40.311] [main/INFO] [Arclight/]: 

       ___           ___     __   /\
      /   | ________/ (_)__ / /  / /
     / /| |/ __/ __/ / / _ / _ \/__/
    / ___ / / / /_/ / / / / // / /
   /_/  |/_/  \__/_/_/\_ /_//_/ /
                     /__/     \/

    运行版本 arclight-1.16.5-1.0.26-SNAPSHOT-5c6b795
    构建日期 2024-05-01 08:52:59

[22Mar2025 15:44:40.398] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--gameDir, ., --launchTarget, fmlserver, --fml.forgeVersion, 36.2.42, --fml.mcpVersion, 20210115.111550, --fml.mcVersion, 1.16.5, --fml.forgeGroup, net.minecraftforge, nogui]
[22Mar2025 15:44:40.400] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 8.1.3+8.1.3+main-8.1.x.c94d18ec starting: java version 21.0.6 by Ubuntu
[22Mar2025 15:44:41.023] [main/INFO] [com.teampotato.redirector.Redirector/]: Redirector CoreMod initialized successfully!
[22Mar2025 15:44:41.190] [main/INFO] [net.minecraftforge.fml.loading.FixSSL/CORE]: Added Lets Encrypt root certificates as additional trust
[22Mar2025 15:44:41.249] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.4 Source=file:/workspaces/reimagined-octo-doodle/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.4/mixin-0.8.4.jar Service=ModLauncher Env=SERVER
[22Mar2025 15:44:42.293] [main/INFO] [STDERR/]: [org.antlr.v4.runtime.ConsoleErrorListener:syntaxError:38]: line 13:0 token recognition error at: '`'
[22Mar2025 15:44:42.464] [main/INFO] [STDERR/]: [org.antlr.v4.runtime.ConsoleErrorListener:syntaxError:38]: line 1:0 token recognition error at: '~'
[22Mar2025 15:44:43.566] [main/INFO] [mixin/]: Successfully loaded Mixin Connector [someoneelse.betternetherreforged.mixin.MixinConnector]
[22Mar2025 15:44:43.570] [main/INFO] [mixin/]: Successfully loaded Mixin Connector [vazkii.botania.common.MixinConnector]
[22Mar2025 15:44:43.571] [main/INFO] [mixin/]: Successfully loaded Mixin Connector [vazkii.patchouli.common.MixinConnector]
[22Mar2025 15:44:43.573] [main/INFO] [mixin/]: Successfully loaded Mixin Connector [de.maxhenkel.camera.MixinConnector]
[22Mar2025 15:44:43.575] [main/INFO] [mixin/]: Successfully loaded Mixin Connector [ca.spottedleaf.starlight.mixin.MixinConnector]
[22Mar2025 15:44:43.581] [main/INFO] [mixin/]: Successfully loaded Mixin Connector [io.izzel.arclight.impl.ArclightConnector_Forge]
[22Mar2025 15:44:43.587] [main/INFO] [someoneelse.betternetherreforged.BetterNether/]: Better Nether: Mixin Connected!
[22Mar2025 15:44:43.631] [main/INFO] [Arclight/]: 核心 Mixin 配置已加载
[22Mar2025 15:44:43.633] [main/INFO] [Arclight/]: 服务端优化 Mixin 配置已加载
[22Mar2025 15:44:43.638] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'fmlserver' with arguments [--gameDir, ., nogui]
[22Mar2025 15:44:43.658] [main/INFO] [opotato/]: Mod Alex's Delight 1.1.3 - Forge 1.16.5.jar loaded!
[22Mar2025 15:44:43.658] [main/INFO] [opotato/]: Mod Aquaculture-1.16.5-2.1.23.jar loaded!
[22Mar2025 15:44:43.658] [main/INFO] [opotato/]: Mod Artifacts-1.16.5-2.10.5.jar loaded!
[22Mar2025 15:44:43.658] [main/INFO] [opotato/]: Mod AttributeFix-1.16.5-10.1.4.jar loaded!
[22Mar2025 15:44:43.658] [main/INFO] [opotato/]: Mod AutoRegLib-1.6-49.jar loaded!
[22Mar2025 15:44:43.658] [main/INFO] [opotato/]: Mod BeeFix-1.16.2-1.0.7.jar loaded!
[22Mar2025 15:44:43.658] [main/INFO] [opotato/]: Mod BetterCaves-Forge-1.16.4-1.1.2.jar loaded!
[22Mar2025 15:44:43.658] [main/INFO] [opotato/]: Mod BetterCompatibilityChecker-1.0.7-build.22+mc1.16.5.jar loaded!
[22Mar2025 15:44:43.658] [main/INFO] [opotato/]: Mod BetterDungeons-1.16.4-1.2.1.jar loaded!
[22Mar2025 15:44:43.659] [main/INFO] [opotato/]: Mod BetterMineshafts-Forge-1.16.4-2.0.4.jar loaded!
[22Mar2025 15:44:43.659] [main/INFO] [opotato/]: Mod BetterNether_Reforged-1.2hf.jar loaded!
[22Mar2025 15:44:43.659] [main/INFO] [opotato/]: Mod BetterStrongholds-1.16.4-1.2.1.jar loaded!
[22Mar2025 15:44:43.659] [main/INFO] [opotato/]: Mod BiomesOPlenty-1.16.5-13.1.0.488-universal.jar loaded!
[22Mar2025 15:44:43.659] [main/INFO] [opotato/]: Mod Bookshelf-Forge-1.16.5-10.4.33.jar loaded!
[22Mar2025 15:44:43.659] [main/INFO] [opotato/]: Mod Botania-1.16.5-420.3.jar loaded!
[22Mar2025 15:44:43.659] [main/INFO] [opotato/]: Mod CNPC-Gecko-Addon-1.16.5-0728-1.1.1.jar loaded!
[22Mar2025 15:44:43.659] [main/INFO] [opotato/]: Mod CaveBiomeAPI-forge-2.0.0.jar loaded!
[22Mar2025 15:44:43.659] [main/INFO] [opotato/]: Mod CavesCliffsBackportAdditions-3.4.1jar.jar loaded!
[22Mar2025 15:44:43.659] [main/INFO] [opotato/]: Mod Clumps-6.0.0.28.jar loaded!
[22Mar2025 15:44:43.659] [main/INFO] [opotato/]: Mod CosmeticArmorReworked-1.16.5-v5a.jar loaded!
